Film_title,Director,Average_rating,Genres,Total_ratings,Film_URL,,,,
Her,Spike Jonze,3.99,"['Science Fiction', 'Drama', 'Romance']",1708905,https://letterboxd.com/film/her/,,,,
Django,Sergio Corbucci,3.8,"['Action', 'Western']",49622,https://letterboxd.com/film/django/,,,,
Love,Gaspar Noé,3.15,"['Romance', 'Drama']",137930,https://letterboxd.com/film/love-2015/,,,,
Possession,Andrzej Żuławski,4.06,['Horror'],313375,https://letterboxd.com/film/possession/,,,,
John Wick: Chapter 2,Chad Stahelski,3.7,"['Crime', 'Action', 'Thriller']",836051,https://letterboxd.com/film/john-wick-chapter-2/,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,3.95,"['Fantasy', 'Adventure', 'Action']",1253630,https://letterboxd.com/film/pirates-of-the-caribbean-the-curse-of-the-black-pearl/,,,,
The Raid,Gareth Evans,4.02,"['Crime', 'Action', 'Thriller']",225512,https://letterboxd.com/film/the-raid-2011/,,,,
The Beyond,Lucio Fulci,3.52,['Horror'],52430,https://letterboxd.com/film/the-beyond/,,,,
Oldboy,Park Chan-wook,4.38,"['Thriller', 'Mystery', 'Drama', 'Action']",1029549,https://letterboxd.com/film/oldboy/,,,,
Kingsman: The Secret Service,Matthew Vaughn,3.74,"['Comedy', 'Crime', 'Adventure', 'Action']",1089883,https://letterboxd.com/film/kingsman-the-secret-service/,,,,
Prometheus,Ridley Scott,3.29,"['Science Fiction', 'Horror', 'Adventure', 'Mystery']",556523,https://letterboxd.com/film/prometheus/,,,,
Groundhog Day,Harold Ramis,3.82,"['Comedy', 'Drama', 'Fantasy', 'Romance']",666016,https://letterboxd.com/film/groundhog-day/,,,,
Batman Returns,Tim Burton,3.58,"['Fantasy', 'Action']",390535,https://letterboxd.com/film/batman-returns/,,,,
Spirited Away,Hayao Miyazaki,4.45,"['Family', 'Fantasy', 'Animation']",2512581,https://letterboxd.com/film/spirited-away/,,,,
American Psycho,Mary Harron,3.82,"['Crime', 'Thriller', 'Horror', 'Drama']",2595230,https://letterboxd.com/film/american-psycho/,,,,
